city,slug,N,k,sigma,mean_degree,frac_localized_0.0,frac_localized_1.0,ipr_mean_0.0,ipr_mean_1.0,r_mean_0.0,r_mean_1.0,delta_r,w0_metallic,w1_insulating,clean_anderson
BIXI Montréal,montreal_bixi,1057,6,300.0,2.4166272749276985,0.9952696310312205,1.0,0.12675750024004853,0.27400018880707094,0.45115961544670474,0.3982977670737899,0.052861848372914855,False,True,False
BIXI Montréal,montreal_bixi,1057,6,500.0,3.77848550526099,0.9895931882686849,1.0,0.06540381508055668,0.22361391369649755,0.46321074256638434,0.39772293434193756,0.06548780822444678,True,True,True
BIXI Montréal,montreal_bixi,1057,6,800.0,4.965667807990062,0.9612109744560076,1.0,0.03744840877819462,0.20166741105495298,0.47815094437128053,0.4067976368227965,0.07135330754848401,True,True,True
BIXI Montréal,montreal_bixi,1057,6,1200.0,5.798861643086445,0.9460737937559129,1.0,0.02992513884845637,0.19887369185259418,0.5061780942975452,0.4088077990140002,0.09737029528354502,True,True,True
BIXI Montréal,montreal_bixi,1057,10,300.0,3.1037999566966077,0.9943235572374646,1.0,0.12834557054966886,0.29055672324360216,0.4434913332693102,0.40118113184198795,0.042310201427322225,False,True,False
BIXI Montréal,montreal_bixi,1057,10,500.0,5.301163331432288,0.9848628192999054,1.0,0.06687153880670611,0.24747753870693767,0.4690483381165916,0.40938973839262366,0.05965859972396792,True,True,True
BIXI Montréal,montreal_bixi,1057,10,800.0,7.32980343382131,0.9167455061494797,1.0,0.040889157254083666,0.22863032463240865,0.4870894542195239,0.42101659709043693,0.06607285712908695,True,True,True
BIXI Montréal,montreal_bixi,1057,10,1200.0,8.886209094752282,0.8145695364238411,1.0,0.02781347857309441,0.22660286169296873,0.515407354815821,0.4096606804419584,0.10574667437386259,True,True,True
BIXI Montréal,montreal_bixi,1057,15,300.0,3.5984315201006725,0.9952696310312205,1.0,0.1335889853339281,0.30481838331229744,0.449562073250241,0.39567789456824687,0.05388417868199413,False,True,False
BIXI Montréal,montreal_bixi,1057,15,500.0,6.718880325739118,0.9772942289498581,1.0,0.07227741318173138,0.26743537571784937,0.4763434079004601,0.42272684433382235,0.05361656356663774,True,True,True
BIXI Montréal,montreal_bixi,1057,15,800.0,9.758326891940706,0.8968779564806055,1.0,0.04569661693011667,0.25955341044590297,0.49886824448597256,0.41487997747215744,0.08398826701381512,True,True,True
BIXI Montréal,montreal_bixi,1057,15,1200.0,12.216250618740947,0.7530747398297067,1.0,0.03039757223048435,0.2567544595257762,0.5123667087372027,0.4334133720981555,0.07895333663904719,True,False,False
BIXI Montréal,montreal_bixi,1057,20,300.0,3.8947838991515784,0.9905392620624409,1.0,0.13860553228324812,0.3153939451659837,0.4542354476962663,0.39686971921643166,0.05736572847983462,False,True,False
BIXI Montréal,montreal_bixi,1057,20,500.0,7.824664861209834,0.9706717123935666,1.0,0.07665130269929338,0.2786176896825659,0.4706680511308522,0.42672503345740476,0.04394301767344744,True,True,False
BIXI Montréal,montreal_bixi,1057,20,800.0,11.862068918851703,0.9091769157994324,1.0,0.050050261615433606,0.2722555409562967,0.5074367731075069,0.410053990655227,0.09738278245227988,True,True,True
BIXI Montréal,montreal_bixi,1057,20,1200.0,15.21655326516479,0.7767265846736046,1.0,0.03769447299961272,0.2756007302029971,0.512279605139891,0.42102778466494295,0.09125182047494806,True,True,True
Bay Wheels SF,sf_baywheels,560,6,300.0,1.9143212961100833,0.9946428571428572,1.0,0.12031661583005189,0.2940558419970541,0.41700288239268357,0.41006522833172976,0.006937654060953813,False,True,False
Bay Wheels SF,sf_baywheels,560,6,500.0,3.7607204485961647,0.9839285714285714,1.0,0.05556887330678314,0.25470055144618026,0.44102543812400785,0.4084161865083691,0.03260925161563877,False,True,False
Bay Wheels SF,sf_baywheels,560,6,800.0,5.306543771882479,0.9803571428571428,1.0,0.03893935308988023,0.2447547019141524,0.4557318903583096,0.4119293728035604,0.043802517554749176,False,True,False
Bay Wheels SF,sf_baywheels,560,6,1200.0,6.2036306862349395,0.9732142857142857,1.0,0.03887899054755829,0.2364979042509353,0.43827596630217913,0.41140789602961025,0.026868070272568878,False,True,False
Bay Wheels SF,sf_baywheels,560,10,300.0,2.1184050480451115,0.9964285714285714,1.0,0.13122370001355982,0.2993718889017817,0.4362701589615631,0.39549524404666575,0.040774914914897376,False,True,False
Bay Wheels SF,sf_baywheels,560,10,500.0,4.77486462540398,0.9821428571428571,1.0,0.07105465895590538,0.28386010497796493,0.42438556823225776,0.4262548730746487,-0.0018693048423909508,False,True,False
Bay Wheels SF,sf_baywheels,560,10,800.0,7.533743444693187,0.9696428571428571,1.0,0.03798542503462118,0.2754778682713208,0.43507144394860847,0.391276596546282,0.043794847402326476,False,True,False
Bay Wheels SF,sf_baywheels,560,10,1200.0,9.416082640615862,0.9571428571428572,1.0,0.029972550741214604,0.2677314918858806,0.42526834694592924,0.41919181091332197,0.0060765360326072715,False,True,False
Bay Wheels SF,sf_baywheels,560,15,300.0,2.210426261778716,0.9964285714285714,1.0,0.1368631884140176,0.3089504912155422,0.4392883948372883,0.40285237608683716,0.03643601875045116,False,True,False
Bay Wheels SF,sf_baywheels,560,15,500.0,5.496637958111366,0.9875,1.0,0.08915571802117839,0.308595128275617,0.4395745893317458,0.4043095433818866,0.035265045949859186,False,True,False
Bay Wheels SF,sf_baywheels,560,15,800.0,9.555585984582512,0.9625,1.0,0.05167960021226028,0.3090987133875782,0.43496236801568977,0.41853857782928533,0.01642379018640444,False,True,False
Bay Wheels SF,sf_baywheels,560,15,1200.0,12.77122079458295,0.9446428571428571,1.0,0.03244840899771054,0.3051517883094797,0.4308920984619261,0.42037702336867555,0.010515075093250559,False,True,False
Bay Wheels SF,sf_baywheels,560,20,300.0,2.241278503640975,0.9982142857142857,1.0,0.1405077446093517,0.3116744780993505,0.43343906731224074,0.41561718805559106,0.017821879256649686,False,True,False
Bay Wheels SF,sf_baywheels,560,20,500.0,5.926576630436156,0.9875,1.0,0.10478405755204719,0.3290748965959158,0.43766433130597704,0.4022443974221887,0.035419933883788335,False,True,False
Bay Wheels SF,sf_baywheels,560,20,800.0,11.097671215489793,0.9660714285714286,1.0,0.06695109064047602,0.3204025827914551,0.439850842169273,0.4255173505045063,0.014333491664766718,False,True,False
Bay Wheels SF,sf_baywheels,560,20,1200.0,15.702020709606593,0.9535714285714286,1.0,0.03655576889849866,0.3202948880838743,0.41586187550139386,0.4084641708030075,0.007397704698386354,False,True,False
Bluebikes Boston,boston_bluebikes,497,6,300.0,1.6180622100170812,0.9959758551307847,1.0,0.15992002554949808,0.336938053234368,0.4164284051337575,0.4009933567561606,0.015435048377596905,False,True,False
